Name,Category,Severity,Resource Display Name,Resource Path,Resource Type
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1467fa271a2af5f6bf9f03a810f4ef2c,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/ssc-project-999/regions/europe-west12/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/14c366e04ba5f291072266f5d7afad48,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/load-balancer-host-project/regions/asia-south1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/14d509362b577e83c9c73f251c167d92,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/load-balancer-host-project/regions/southamerica-east1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/14fa6070bf00aa3e4800f38f4d25bd58,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/load-balancer-host-project/regions/europe-southwest1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/151472d04721ad3a11584232096f6fa7,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/load-balancer-host-project/regions/northamerica-northeast1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1583324bd7dedd1e640658d399c48047,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/ssc-project-999/regions/europe-north1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/162a95ec07c4c1a3c56abd65bd51a31d,OS_LOGIN_DISABLED,3,ssc-project-999,//compute.googleapis.com/projects/ssc-project-999,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1665666f6e8e36e7abc185039a970c89,AUDIT_CONFIG_NOT_MONITORED,4,482298122994,//cloudresourcemanager.googleapis.com/projects/482298122994,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/16be83f6d9a5f0ec0071e441061af7f4,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/load-balancer-host-project/regions/europe-central2/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/16f2ef90d782fdfc8efb7ea17e93c51d,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/load-balancer-host-project/regions/europe-north2/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/16f9a137b7c1ed914f75e1e97dcef650,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/us-west2/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/16fe3710c7bd144c2c388b7261ec791a,MFA_NOT_ENFORCED,2,742653001909,//cloudresourcemanager.googleapis.com/organizations/742653001909,Other
organizations/742653001909/sources/3344967813459848552/locations/global/findings/17058aed87e5d562bce224c397b18c44,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/ssc-project-999/regions/us-east5/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1865de530779d50e8ae17dde84e9a721,OPEN_RDP_PORT,2,test-vpc-allow-rdp,//compute.googleapis.com/projects/agentic-9999/global/firewalls/test-vpc-allow-rdp,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1961179e1365ee9722e8728b83946518,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/europe-west2/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/19836f7e70af1f6e5f00a9a66162f6d4,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/ssc-project-999/regions/europe-west9/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/19e51354ee005760e55eafc4bed1520f,FULL_API_ACCESS,3,linux-vm,//compute.googleapis.com/projects/agentic-9999/zones/us-central1-c/instances/linux-vm,GCE Instance
organizations/742653001909/sources/3344967813459848552/locations/global/findings/19fb6fe1c3bd13867f5a29b04734b1ab,COMPUTE_SECURE_BOOT_DISABLED,3,vm-asia,//compute.googleapis.com/projects/load-balancer-service-project/zones/asia-south1-c/instances/vm-asia,GCE Instance
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1a2949ba51dab6089e3d4cf688c33dd6,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/ssc-project-999/regions/us-west3/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1a6fb8626f777fc83810c81c7360da27,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/asia-south2/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1a79b7d5b0c01445be2c58a84181aee5,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/us-west1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1ad9d2c2fdd1f0f3557df996a165e0d1,DEFAULT_SERVICE_ACCOUNT_USED,3,db-vm,//compute.googleapis.com/projects/load-balancer-service-project/zones/europe-west1-d/instances/db-vm,GCE Instance
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1b02ad99e2ae127701d71bd496ecef7b,OWNER_NOT_MONITORED,4,1056245351413,//cloudresourcemanager.googleapis.com/projects/1056245351413,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1b352e964a2a3c442626c20ab41bcf57,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/us-east1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1bc57da6e18bd8769845a6b3b844f0e7,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/load-balancer-host-project/regions/australia-southeast1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1bd5cf6f359c13a3b5e2f455c8c5aa5d,OPEN_FIREWALL,2,traffic-from-any,//compute.googleapis.com/projects/load-balancer-host-project/global/firewalls/traffic-from-any,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1bfa99532713507bb704b996ca268772,OPEN_MEMCACHED_PORT,2,anywhere,//compute.googleapis.com/projects/load-balancer-host-project/global/firewalls/anywhere,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1d04ae8357b37cb3ad462e5ecabb02be,AUDIT_CONFIG_NOT_MONITORED,4,1056245351413,//cloudresourcemanager.googleapis.com/projects/1056245351413,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1e3cdef2960f1740d52213939accbee9,OS_LOGIN_DISABLED,3,load-balancer-host-project,//compute.googleapis.com/projects/load-balancer-host-project,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1e98e8acdb13fc7c44eea5d302ce5aaf,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/africa-south1/subnetworks/default,Project
